项目名称,项目编号,开标时间,工程分类,是否联合体投标,资格审查方式,预算,备注,企业资质,人员资质,招标公告网址
  翠苑四区未来社区提升改造项目  ,  A3301060110508298001211  ,  2023/9/19 9:00:00  ,  房屋建筑  ,  否  ,  资格后审  ,  819.7677  ,    ,  具备 施工总承包企业建筑工程(新) 三级  ,  具备 建筑工程 二级  ,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=f4618163-28e5-4a18-b5ab-3980d9f2f070&IsInner=0&IsHistory=&ModuleID=22
淳政工出[2023]15、16号淳安国储林一期（首批）坪山农林产品深加工（水饮料）产业园项目（一、二期）（监理）,A3301270160508296001211,2023/09/22 08:45:00,房屋建筑,否,资格后审,111.47,,具备 综合 或者具备 房屋建筑工程 乙级,具备 建筑工程 ,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=6aadb0ce-1786-4a46-8b94-1547f02347ed&IsInner=0&IsHistory=&ModuleID=22
淳政工出[2023]15号淳安国储林一期（首批）坪山农林产品深加工（水饮料）产业园项目（一、二期）,A3301270160508249001211,2023/09/21 08:45:00,房屋建筑,否,资格后审,12499.5551,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=a9fab2b1-e20e-4979-812a-369fe9eb1f1e&IsInner=0&IsHistory=&ModuleID=22
瓜沥镇亚运水质保障清水入城工程EPC工程总承包,A3301090130980023001251,2023/10/16 09:30,水利水电,是,资格后审,981.2686,投标单位需完成市场主体注册入库。,同时具备 设计综合类 甲级、施工总承包企业水利水电工程(新) 三级 或者同时具备 设计专业类 水利行业 乙级、施工总承包企业水利水电工程(新) 三级,具备 水利水电工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=7d92fbc9-e4d8-47c1-9925-c291690b8e5f&IsInner=0&IsHistory=&ModuleID=22
  奥体中心中学配套道路设计（重新招标）  ,  A3301080120507907001222  ,  2023/9/18 9:30:00  ,  市政公用  ,  否  ,  资格后审  ,  125.625  ,    ,  具备 设计综合类 甲级 或者具备 设计专业类  市政行业（燃气工程、轨道交通工程除外） 甲级 或者同时具备 设计专业类 市政公用行业 道路工程设计 丙级、设计专业类 市政公用行业 排水工程设计 甲级、设计专业类  市政公用行业 桥梁工程 乙级 或者具备 设计专业类 市政公用行业 甲级  ,    ,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=ffc49c89-cbd9-43d2-9f85-6985e1292278&IsInner=0&IsHistory=&ModuleID=22
  杭州航区2023年度航道例行养护工程  ,  A3301010060280129001231  ,  2023/9/19 9:30:00  ,  公路(交通)  ,  是  ,  资格后审  ,  942  ,    ,  具备 施工总承包企业港口与航道工程(新) 二级 或者具备 专业承包企业航道工程(新) 二级  ,  具备 港口与航道工程 一级  ,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=fb52e57d-412f-4226-ac6b-e19cdd6660fc&IsInner=0&IsHistory=&ModuleID=22
杭新景（杭千）高速公路2023年 隧道群机电系统专项检测项目,A3301010060280130001231,,公路(交通),否,资格后审,99.8868,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=bdf89335-5d94-494b-9e5a-d5554842cecb&IsInner=0&IsHistory=&ModuleID=22
四堡七堡单元JG1404-19地块文化及体育设施、JG1404-18地块公共配套服务设施等3个项目机械车位,A3301010060508233001291,2023/9/18 9:30:00,其他,否,资格后审,293.4,具备独立法人资格的机械车库设备制造商或代理商资质;投标单位须完成市场主体注册入库。,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=1ee7eac2-3633-44d7-93e9-755d43b4474b&IsInner=0&IsHistory=&ModuleID=22
四堡七堡单元JG1402-A33-40地块36班小学、JG1402-R22-41地块18班幼儿园监理,A3301010060507737001212,2023/9/18 9:00:00,房屋建筑,否,资格后审,706.79,投标单位须完成市场主体注册入库。,具备 房屋建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=c64ead6f-4b3e-4562-a734-ac4c0422c27c&IsInner=0&IsHistory=&ModuleID=22
新湾街道冯娄村安置房及配套幼儿园项目（EPC）工程总承包,A3301300180508278001211,2023/9/27 14:30:00,房屋建筑,是,资格后审,104269.9177,,同时具备 施工总承包企业建筑工程(新) 一级、设计综合类 甲级 或者同时具备 设计专业类 建筑行业 甲级、施工总承包企业建筑工程(新) 一级 或者同时具备 设计专业类 建筑行业 建筑工程 甲级、施工总承包企业建筑工程(新) 一级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=daa81c18-db4c-4807-801f-94d01ccbce73&IsInner=0&IsHistory=&ModuleID=22
县一医院功能提升及基础配套设施建设,A3301270160508229001211,2023/09/21 08:45:00,房屋建筑,否,资格后审,1498.2451,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=2f3eca54-5fd9-4e2b-84db-b96fdc19bc86&IsInner=0&IsHistory=&ModuleID=22
2023年度（城厢）老旧小区综合改造提升-潇湘社区杭齿山南片区块改造工程EPC工程总承包,A3301090130508048001211,2023/09/27 09:30,房屋建筑,是,资格后审,3599.1631,投标单位需完成市场主体注册入库。,同时具备 施工总承包企业建筑工程(新) 三级、设计综合类 甲级 或者同时具备 设计专业类 建筑行业 乙级、施工总承包企业建筑工程(新) 三级 或者同时具备 设计专业类 建筑行业 建筑工程 乙级、施工总承包企业建筑工程(新) 三级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=bfd2a37d-7236-4d9c-9eb3-d889773874cd&IsInner=0&IsHistory=&ModuleID=22
仁和街道幸福综合体,A3301100140508254001211,2023/9/19 9:30:00,房屋建筑,否,资格后审,632.8577,,具备 专业承包企业建筑装修装饰工程(新) 二级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=2331e513-0834-462c-ba16-89fda8ebb5c6&IsInner=0&IsHistory=&ModuleID=22
瓜沥镇城乡一体化安置房（三期）——瓜沥区块项目EPC工程总承包,A3301090130508043001211,2023/09/27 14:00,房屋建筑,是,资格后审,47468.9602,投标单位需完成市场主体注册入库。,同时具备 施工总承包企业建筑工程(新) 二级、设计综合类 甲级 或者同时具备 设计专业类 建筑行业 甲级、施工总承包企业建筑工程(新) 二级 或者同时具备 设计专业类 建筑行业 建筑工程 甲级、施工总承包企业建筑工程(新) 二级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=4a8c510b-0cb2-4977-81b9-f5a52be85b51&IsInner=0&IsHistory=&ModuleID=22
义蓬安置房四期东北地块一期项目勘察,A3301300180508171001211,2023/9/18 9:30:00,房屋建筑,否,资格后审,214.1696,拟派项目负责人具有注册在投标人单位的注册土木工程师（岩土）,具备 勘察综合类 甲级 或者具备 勘察专业类 岩土工程 岩土工程勘察 甲级 或者具备 勘察专业类 岩土工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=5166facc-229f-4e8a-9952-85e95c015f02&IsInner=0&IsHistory=&ModuleID=22
配建公租房项目（一）全过程工程咨询,A3301300180508116001211,2023/9/19 9:30:00,房屋建筑,是,资格后审,973.2,造价咨询：专业和等级具有包含工程造价咨询（含同类描述）经营范围的有效营业执照。 拟派项目负责人具有注册在投标人单位的一级造价工程师（土木建筑专业）或国家注册监理工程师（房屋建筑工程专业）或咨询工程师（投资）资格,具备 房屋建筑工程 甲级 或者具备 综合 ,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=346605ae-430e-468d-a9c4-9ff524e7e476&IsInner=0&IsHistory=&ModuleID=22
科技文化中心-国际体育中心项目（专业足球场）,A3301100140508222001111,,房屋建筑,否,资格预审,370448.2506,,具备 施工总承包企业建筑工程(新) 一级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=23b0e0fc-43a0-41dc-9993-ed0fd0f81e83&IsInner=0&IsHistory=&ModuleID=22
杭州祈利酒店管理有限公司服装大厦祈居酒店项目室内装修工程,A3301020070508200001211,2023/9/19 9:30:00,房屋建筑,否,资格后审,939.1926,1、投标单位须完成市场主体注册入库2、金融服务平台电子保函办理：https://www.cyc-fund.com.cn/?areaCode=330102,具备 专业承包企业建筑装修装饰工程(新) 二级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=5e0aa5d3-ffed-4427-97ad-413d6cc721f3&IsInner=0&IsHistory=&ModuleID=22
桐庐城乡供水一体化管网提升改造工程（一期）—城市扩网及部分农饮水改造项目（瑶琳镇）,A3301220150980044001251,2023/9/19 9:00:00,水利水电,否,资格后审,1449.9047,,具备 施工总承包企业水利水电工程(新) 三级 或者具备 施工总承包企业市政公用工程(新) 三级,具备 水利水电工程 二级 或者具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=42f0aea7-d513-4c3f-83d6-1da28483b5e0&IsInner=0&IsHistory=&ModuleID=22
